,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,country
41,uri,http://www.wikidata.org/entity/Q98915160,en,literal,Jusbrasil,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-05-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36947,literal,,,,,,,,,,,,,,wd:Q155
42,uri,http://www.wikidata.org/entity/Q945699,en,literal,Universidade Federal do Piauí,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
43,uri,http://www.wikidata.org/entity/Q111785735,en,literal,Estapar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q64514560,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
44,uri,http://www.wikidata.org/entity/Q2091986,en,literal,Estácio Universities,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8678,literal,,,,,,,,,,,,,,wd:Q155
45,uri,http://www.wikidata.org/entity/Q100492677,en,literal,Farma Conde,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
46,uri,http://www.wikidata.org/entity/Q25419630,en,literal,Cineplus,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4361,literal,,,,,,,,,,,,,,wd:Q155
47,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q800,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,,,,,,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,wd:Q155
48,uri,http://www.wikidata.org/entity/Q10270338,,literal,Q10270338,http://www.w3.org/2001/XMLSchema#dateTime,literal,1955-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,,,,,,,,,,,,,wd:Q155
49,uri,http://www.wikidata.org/entity/Q100491051,en,literal,Droga Quinze,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
50,uri,http://www.wikidata.org/entity/Q835283,en,literal,Caixa,http://www.w3.org/2001/XMLSchema#dateTime,literal,1861-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q2844,literal,http://www.wikidata.org/entity/Q61002584,,,,,,,,,,,,,wd:Q155
