,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
1156,en,literal,Sweet Scoops Homemade Ice Cream,,,,,,,,,,,,,,,,wd:Q30
1157,en,literal,Wild Goat Bistro,,,,,,,,,,,,,,,,wd:Q30
1158,en,literal,Bon Niche Cellars,,,,,,,,,,,,,,,,wd:Q30
1159,en,literal,Clarkson Eyecare,,,,,,,,,,,,,,,,wd:Q30
1160,en,literal,Gangnam Asian BBQ Dining,,,,,,,,,,,,,,,,wd:Q30
1161,en,literal,Solar-Ray,,,,,,,,,,,,,,,,wd:Q30
1162,en,literal,Alienware,http://www.w3.org/2001/XMLSchema#decimal,literal,700,,,,,,,,,,,,,wd:Q30
1163,en,literal,Block Advisors,,,,,,,,,,,,,,,,wd:Q30
1164,en,literal,The Travelers Companies,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2842000000,,,,,,,wd:Q30
1165,en,literal,Ninety Nine Restaurant & Pub,,,,,,,,,,,,,,,,wd:Q30
1166,en,literal,Cisco,http://www.w3.org/2001/XMLSchema#decimal,literal,77500,http://www.w3.org/2001/XMLSchema#decimal,literal,108784000000,http://www.w3.org/2001/XMLSchema#decimal,literal,11812000000,http://www.w3.org/2001/XMLSchema#decimal,literal,41202000000,http://www.w3.org/2001/XMLSchema#decimal,literal,234790000000,wd:Q30
1167,en,literal,Sky Terrace Sushi Bar,,,,,,,,,,,,,,,,wd:Q30
1168,en,literal,MTI College,http://www.w3.org/2001/XMLSchema#decimal,literal,128,,,,,,,,,,,,,wd:Q30
1169,en,literal,The Children's Courtyard,,,,,,,,,,,,,,,,wd:Q30
1170,en,literal,AdHoc Studio,,,,,,,,,,,,,,,,wd:Q30
1171,en,literal,LCNB National Bank,,,,,,,,,,,,,,,,wd:Q30
1172,en,literal,NEXT Trucking,,,,,,,,,,,,,,,,wd:Q30
1173,en,literal,Renewable Energy Group,,,,,,,,,,,,,,,,wd:Q30
1174,en,literal,Veritas Genetics,,,,,,,,,,,,,,,,wd:Q30
1175,en,literal,Clark's Pump-N-Shop,,,,,,,,,,,,,,,,wd:Q30
1176,en,literal,Tide Cleaners,,,,,,,,,,,,,,,,wd:Q30
1177,en,literal,Dick's Sporting Goods,http://www.w3.org/2001/XMLSchema#decimal,literal,37600,,,,,,,,,,,,,wd:Q30
