company_id,edge_type,val_id,node_type
5064609979.0,Macro Industry,Energy and Power,Industry
4295876936.0,Macro Industry,Healthcare,Industry
4295880552.0,Macro Industry,Materials,Industry
4295884483.0,Macro Industry,Financials,Industry
4295880502.0,Macro Industry,Industrials,Industry
4295866131.0,Macro Industry,Industrials,Industry
4298335166.0,Macro Industry,High Technology,Industry
5081184024.0,Macro Industry,Materials,Industry
5081184024.0,Macro Industry,Materials,Industry
4295884327.0,Macro Industry,Consumer Staples,Industry
5044200057.0,Macro Industry,Materials,Industry
5056443584.0,Macro Industry,Materials,Industry
4296608799.0,Macro Industry,Energy and Power,Industry
5053445359.0,Macro Industry,Consumer Products and Services,Industry
4295890097.0,Macro Industry,Financials,Industry
4295890097.0,Macro Industry,Financials,Industry
4295890097.0,Macro Industry,Financials,Industry
4295895428.0,Macro Industry,Industrials,Industry
5001428097.0,Macro Industry,Media and Entertainment,Industry
4295859111.0,Macro Industry,Materials,Industry
5052544379.0,Macro Industry,Financials,Industry
4295856605.0,Macro Industry,Financials,Industry
4295875073.0,Macro Industry,Retail,Industry
4295872569.0,Macro Industry,Energy and Power,Industry
4295913146.0,Macro Industry,Energy and Power,Industry
5069413392.0,Macro Industry,Media and Entertainment,Industry
5046653970.0,Macro Industry,Retail,Industry
5046653970.0,Macro Industry,Retail,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
5067485478.0,Macro Industry,Telecommunications,Industry
5060005330.0,Macro Industry,Energy and Power,Industry
4295890097.0,Macro Industry,Financials,Industry
4298315562.0,Macro Industry,Retail,Industry
4295885702.0,Macro Industry,Consumer Staples,Industry
4295890097.0,Macro Industry,Financials,Industry
4295890097.0,Macro Industry,Financials,Industry
4295890097.0,Macro Industry,Financials,Industry
4295911684.0,Macro Industry,Energy and Power,Industry
4295878728.0,Macro Industry,Consumer Products and Services,Industry
4295865201.0,Macro Industry,Energy and Power,Industry
4295880689.0,Macro Industry,Industrials,Industry
4295904485.0,Macro Industry,Energy and Power,Industry
4295881551.0,Macro Industry,Consumer Products and Services,Industry
5046714278.0,Macro Industry,Materials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
5046624962.0,Macro Industry,Energy and Power,Industry
5044200057.0,Macro Industry,Materials,Industry
4295860294.0,Macro Industry,Energy and Power,Industry
5000007999.0,Macro Industry,Consumer Products and Services,Industry
5000043149.0,Macro Industry,Energy and Power,Industry
4295890097.0,Macro Industry,Financials,Industry
4295890097.0,Macro Industry,Financials,Industry
4295890097.0,Macro Industry,Financials,Industry
4295861228.0,Macro Industry,Energy and Power,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295913879.0,Macro Industry,Consumer Products and Services,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295880544.0,Macro Industry,Industrials,Industry
4295862776.0,Macro Industry,Materials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
5081184024.0,Macro Industry,Materials,Industry
4295856249.0,Macro Industry,Materials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
4295890290.0,Macro Industry,Industrials,Industry
5058607013.0,Macro Industry,Industrials,Industry
5081184024.0,Macro Industry,Materials,Industry
5081184024.0,Macro Industry,Materials,Industry
5081184024.0,Macro Industry,Materials,Industry
4297767900.0,Macro Industry,Energy and Power,Industry
4295868766.0,Macro Industry,Industrials,Industry
4295894878.0,Macro Industry,Real Estate,Industry
4295860294.0,Macro Industry,Energy and Power,Industry
4295875604.0,Macro Industry,Financials,Industry
4296029025.0,Macro Industry,High Technology,Industry
4295880372.0,Macro Industry,Industrials,Industry
4295865147.0,Macro Industry,Materials,Industry
5001150689.0,Macro Industry,Energy and Power,Industry
4295868021.0,Macro Industry,Industrials,Industry
4295887265.0,Macro Industry,Financials,Industry
4295863184.0,Macro Industry,Materials,Industry
5037842611.0,Macro Industry,Media and Entertainment,Industry
4295877934.0,Macro Industry,Industrials,Industry
4295877934.0,Macro Industry,Industrials,Industry
