,company_id,edge_type,val_id,node_type
252,4295864049.0,Macro Industry,Energy and Power,Industry
253,4295908493.0,Macro Industry,Financials,Industry
254,4295860459.0,Macro Industry,Industrials,Industry
255,5037247217.0,Macro Industry,Industrials,Industry
256,4295890141.0,Macro Industry,Industrials,Industry
257,5066616404.0,Macro Industry,High Technology,Industry
258,4296176222.0,Macro Industry,Consumer Products and Services,Industry
259,4295907183.0,Macro Industry,Industrials,Industry
260,4295889277.0,Macro Industry,Industrials,Industry
261,5000002343.0,Macro Industry,Media and Entertainment,Industry
262,4295914627.0,Macro Industry,Financials,Industry
263,4295914627.0,Macro Industry,Financials,Industry
264,5037478590.0,Macro Industry,Consumer Products and Services,Industry
265,4295895044.0,Macro Industry,Retail,Industry
266,4295884747.0,Macro Industry,High Technology,Industry
267,5037477697.0,Macro Industry,Telecommunications,Industry
268,4296693301.0,Macro Industry,Materials,Industry
269,4295889097.0,Macro Industry,Materials,Industry
270,5000803238.0,Macro Industry,Industrials,Industry
271,5046707400.0,Macro Industry,Consumer Products and Services,Industry
272,5040246866.0,Macro Industry,High Technology,Industry
273,5040246866.0,Macro Industry,High Technology,Industry
274,4295877548.0,Macro Industry,Materials,Industry
275,4296661483.0,Macro Industry,Energy and Power,Industry
276,4296661483.0,Macro Industry,Energy and Power,Industry
277,4295859223.0,Macro Industry,Retail,Industry
278,5037478590.0,Macro Industry,Consumer Products and Services,Industry
279,4295866131.0,Macro Industry,Industrials,Industry
280,4295866790.0,Macro Industry,High Technology,Industry
281,4295903469.0,Macro Industry,Materials,Industry
282,4295878673.0,Macro Industry,Media and Entertainment,Industry
283,4295908451.0,Macro Industry,Industrials,Industry
284,5040047599.0,Macro Industry,Industrials,Industry
285,4295884543.0,Macro Industry,Industrials,Industry
286,5082913340.0,Macro Industry,Financials,Industry
287,4295856601.0,Macro Industry,Materials,Industry
288,4295907543.0,Macro Industry,High Technology,Industry
289,4295876559.0,Macro Industry,High Technology,Industry
290,4295863493.0,Macro Industry,Financials,Industry
291,4295856141.0,Macro Industry,Energy and Power,Industry
292,5082913340.0,Macro Industry,Financials,Industry
293,5044511242.0,Macro Industry,High Technology,Industry
294,4295906353.0,Macro Industry,Industrials,Industry
295,4296410572.0,Macro Industry,Energy and Power,Industry
296,4295907012.0,Macro Industry,Energy and Power,Industry
297,4295865833.0,Macro Industry,Energy and Power,Industry
298,4295883040.0,Macro Industry,Materials,Industry
299,4295889996.0,Macro Industry,Healthcare,Industry
300,4295865088.0,Macro Industry,Industrials,Industry
301,5000459171.0,Macro Industry,Retail,Industry
302,5000459171.0,Macro Industry,Retail,Industry
303,4295894819.0,Macro Industry,Consumer Products and Services,Industry
304,4295890141.0,Macro Industry,Industrials,Industry
305,5052166213.0,Macro Industry,Financials,Industry
306,5046395504.0,Macro Industry,Energy and Power,Industry
307,5081482868.0,Macro Industry,Energy and Power,Industry
308,4295893512.0,Macro Industry,Consumer Staples,Industry
309,4295893512.0,Macro Industry,Consumer Staples,Industry
310,5064609979.0,Macro Industry,Energy and Power,Industry
311,4295876936.0,Macro Industry,Healthcare,Industry
312,4295880552.0,Macro Industry,Materials,Industry
