SDC Deal No,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(USD, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisors Name
('|')","Acquiror Financial Advisors Name
('|')",Deal Status,Form of the Deal,Acquiror Number of Employees,Target Number of Employees,Acquiror PermID,Target PermID,Target Founded Date,Target Primary Ticker Symbol,Acquiror Founded Date,"Acquiror Current Assets Last 12 Months
(USD, Millions)","Current Assets Last 12 Months 
(USD, Millions)","Acquiror Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Target Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Region of Headquarters
('|')","Acquiror CashFLow LTM
(USD, Millions)","EBITDA Last 12 Months
(USD, Millions)"
3989580020,10/18/2022,10/18/2022,575.93,Akouos Inc,Healthcare,Biotechnology,United States,Eli Lilly & Co,Healthcare,Pharmaceuticals,United States,Centerview Partners LLC,,Completed,Merger,"39,235.00",,4295904414,5059037223,01/01/2016,AKUS,,"17,639.90",,"286,696.25",197.95,Americas,"10,157.30",
3981322040,09/22/2022,09/22/2022,50.29,TRF Ltd,Industrials,Machinery,India,Tata Steel Ltd,Financials,Other Financials,India,RBSA Valuation Advisors LLP|Deloitte Touche Tohmatsu India,Ernst & Young Merchant Banking,Pending,Merger,"80,534.00",,4295872420,4295874268,20/11/1962,TRF,26/08/1907,"12,194.32",39.01,"16,246.35",24.84,Asia Pacific Excluding Central Asia,"8,541.42",-0.44
4009215040,11/18/2022,11/18/2022,0.25,Manulife Teda Fund Management Co Ltd,Financials,Asset Management,China (Mainland),Manulife Financial Corp,Financials,Insurance,Canada,,,Pending,Merger,"28,850.00",,4295862758,5000029429,06/06/2002,,,,,"30,467.82",,Asia Pacific Excluding Central Asia,"7,793.29",
4051864040,03/13/2023,03/13/2023,0.00,Usinage Et Nouvelles Technologies SAS,Industrials,Machinery,France,Kering SA,Retail,Apparel Retailing,France,,,Pending,Merger,"31,415.00",,4295867170,5062340065,01/01/1989,,01/01/1963,"12,480.74",5.06,,,Europe,"7,766.48",1.37
4024732040,01/10/2023,01/10/2023,0.00,Nicem Srl,Materials,Construction Materials,Italy,Holcim AG,Materials,Construction Materials,Switzerland,,,Completed,Merger,,,4295890620,5046033732,01/01/1971,,01/01/1912,"18,156.64",8.65,,,Europe,"7,695.80",3.30
3995248020,11/01/2022,11/01/2022,"18,362.00",ABIOMED Inc,Healthcare,Healthcare Equipment & Supplies,United States,Johnson & Johnson,Healthcare,Pharmaceuticals,United States,Goldman Sachs & Co|Stephens Inc,JP Morgan Securities LLC,Completed,Merger,"128,000.00",92.00,4295904341,4295905402,01/01/1981,ABMD,,"65,236.00","1,062.80","433,010.78","12,130.28",Americas,"7,051.00",422.18
3989289040,10/18/2022,10/18/2022,0.00,Tyro Payments Ltd,Financials,Other Financials,Australia,Westpac Banking Corp,Financials,Banks,Australia,UBS Investment Bank|Barrenjoey Capital Partners,JP Morgan,Withdrawn,Merger,,,4295856627,5044616978,03/02/2003,TYR,,,84.92,"51,281.02",384.39,Asia Pacific Excluding Central Asia,"7,037.09",5.90
3944845020,07/05/2022,07/05/2022,"1,265.00",TeneoTwo Inc,Healthcare,Biotechnology,United States,AstraZeneca PLC,Healthcare,Pharmaceuticals,United Kingdom,,,Completed,Merger,"51,700.00",,4295894341,5079240720,,,06/04/1999,"22,633.91",,"199,534.44",,Americas,"6,770.86",
3958770040,08/07/2022,08/07/2022,"6,809.46",OZ Minerals Ltd,Materials,Metals & Mining,Australia,BHP Group Ltd,Materials,Metals & Mining,Australia,"Greenhill & Co, LLC|Grant Samuel & Associates Pty|Macquarie Capital Group Ltd",Citi|Flagstaff Partners Pty Ltd|Barrenjoey Capital Partners,Pending,Merger,,,4295856983,4295858027,01/01/2008,OZL,,"28,663.91",502.60,"136,120.81","4,052.45",Asia Pacific Excluding Central Asia,"6,562.98",601.49
3970645040,08/31/2022,08/31/2022,0.00,Tokyo Dairy,Consumer Staples,Food and Beverage,Japan,Mitsui & Co Ltd,Consumer Products and Services,Other Consumer Products,Japan,Houlihan Lokey,,Completed,Merger,,,4295880574,4298192743,01/07/1973,,25/07/1947,"45,959.75",,,,Japan,"6,406.56",
3919987020,05/16/2022,05/16/2022,"1,284.91",Rattler Midstream Partners LP,Energy and Power,Oil & Gas,United States,Diamondback Energy Inc,Energy and Power,Oil & Gas,United States,Evercore Partners,JP Morgan,Completed,Merger,,,5037314809,5064692175,01/07/2018,RTLR,01/12/2007,"1,347.00",92.21,"24,399.23",542.44,Americas,"6,405.00",234.61
4049259040,10/27/2022,10/27/2022,0.00,Qamcom Technology AB,Consumer Products and Services,Professional Services,Sweden,Volvo AB,Industrials,Automobiles & Components,Sweden,,,Completed,Merger,"100,000.00",,4295890024,5035095804,,,01/01/1915,"28,637.18",24.93,,,Europe,"6,380.44",3.85
4015772040,12/28/2022,12/28/2022,128.06,Thomson Plaza Pte Ltd,Real Estate,Non Residential,Singapore,Diamond Run Ltd,Financials,Other Financials,Singapore,JP Morgan,DBS Bank Ltd,Pending,Merger,,,5083697729,5036383872,18/03/1977,,,,,,,Asia Pacific Excluding Central Asia,"6,265.10",
4019145040,12/26/2022,12/26/2022,0.00,Sumitomo Pharma Animal Health Co Ltd,Healthcare,Healthcare Equipment & Supplies,Japan,Mitsui & Co Ltd,Consumer Products and Services,Other Consumer Products,Japan,SMBC Nikko Securities Inc,,Pending,Merger,,,4295880574,5035927820,01/07/2010,,25/07/1947,"42,540.18",,,,Japan,"6,208.44",
3973711040,09/07/2022,09/07/2022,0.00,Beavertown Brewery Ltd,Consumer Staples,Food and Beverage,United Kingdom,Heineken NV,Consumer Staples,Food and Beverage,Netherlands,,,Completed,Merger,"54,000.00",,4295884692,5043714635,14/07/2011,,,"12,332.03",,,,Europe,"6,055.43",
3942137040,06/26/2022,06/26/2022,7.76,AppleMango Co Ltd,Industrials,Other Industrials,South Korea,LG Electronics Inc,High Technology,Electronics,South Korea,,,Completed,Merger,,,4295881987,5083328260,13/03/2019,,01/04/2002,"23,988.35",,,,Asia Pacific Excluding Central Asia,"5,814.31",
3945690020,06/30/2022,06/30/2022,0.00,Vivanda Inc,High Technology,Internet Software & Services,United States,Diageo PLC,Consumer Staples,Food and Beverage,United Kingdom,,,Completed,Merger,"15,306.00",,4295894791,5065929715,,,01/01/1997,"15,825.06",,,,Americas,"5,796.30",
3911348040,04/18/2022,04/18/2022,440.94,Silver Peak Holdings Pte Ltd,Financials,Other Financials,Singapore,Salinter Investments II Pte Ltd,Financials,Other Financials,Singapore,,,Completed,Merger,,,5082533833,5066507163,21/06/2018,,11/06/2021,,,,,Asia Pacific Excluding Central Asia,"5,645.25",
4040475040,02/14/2023,02/14/2023,0.00,Service Souk DMCC,Media and Entertainment,Publishing,United Arab Emirates,Emirates Telecommunications Group Co PJSC,Telecommunications,Telecommunications Services,United Arab Emirates,,,Completed,Merger,,,4295893441,5052146367,,,05/10/1976,"14,838.40",,,,"Africa, Middle East, or Central Asia","5,598.28",
3950033040,07/15/2022,08/03/2022,792.99,Rosseti PJSC,Energy and Power,Power,Russia,Federal Grid Co of Unified Energy System PJSC,Energy and Power,Power,Russia,,,Pending,Merger,,,4297028731,4298056505,01/07/2008,RSTI,25/06/2002,,,"2,521.88","2,234.94",Europe,"5,344.48",
3939425040,06/21/2022,06/21/2022,0.00,PT Royal Lestari Utama,Industrials,Other Industrials,Indonesia,Compagnie Generale des Etablissements Michelin SCA,Industrials,Automobiles & Components,France,,,Completed,Merger,"111,200.00",,4295867411,5043319021,01/01/2015,,,"17,144.12",,,,Asia Pacific Excluding Central Asia,"5,266.81",
3915737040,05/18/2022,05/18/2022,5.41,Bank Otkritie Financial Corp PJSC,Financials,Banks,Russia,Bank VTB PAO,Financials,Banks,Russia,,,Completed,Merger,"6,101.00",,4295887248,4296408056,01/01/1993,N/A,12/10/1990,,,,,Europe,"5,178.33","1,347.22"
3917838020,05/10/2022,05/10/2022,"11,911.67",Biohaven Pharmaceutical Holding Co Ltd,Healthcare,Biotechnology,United States,Pfizer Inc,Healthcare,Pharmaceuticals,United States,Centerview Partners LLC,JP Morgan,Completed,Merger,"116,500.00",,4295904722,5040932194,01/01/2014,BHVN,,"54,420.00","1,171.09","298,655.93","7,740.87",Americas,"5,152.00",-497.92
4044786020,03/13/2023,03/13/2023,"42,101.66",Seagen Inc,Healthcare,Biotechnology,United States,Pfizer Inc,Healthcare,Pharmaceuticals,United States,MTS Health Partners LP|Centerview Partners LLC,Guggenheim Securities LLC,Pending,Merger,"116,500.00",,4295904722,4295901424,15/07/1997,SGEN,,"51,259.00","2,802.53","247,183.09","26,321.27",Americas,"5,064.00",-543.17
3915878040,04/28/2022,04/28/2022,667.00,Vitex Participacoes SA,Materials,Paper & Forest Products,Brazil,Suzano Sa,Materials,Paper & Forest Products,Brazil,Credit Suisse,,Completed,Merger,,,4295860372,5082518112,,,01/01/1946,"6,699.28",,,,Americas,"5,017.66",
3949463040,07/14/2022,07/14/2022,0.00,Dynamo Pictures Inc,Media and Entertainment,Motion Pictures / Audio Visual,Japan,Nintendo Co Ltd,Consumer Products and Services,Other Consumer Products,Japan,,,Pending,Merger,,,4295876067,5036211792,18/03/2011,,,"17,476.67",,,,Japan,"4,958.80",
3918900040,05/11/2022,05/11/2022,0.00,Solgen Sp z o o,High Technology,Semiconductors,Poland,Polskie Gornictwo Naftowe I Gazownictwo Sa,Energy and Power,Oil & Gas,Poland,,PricewaterhouseCoopers,Pending,Merger,,,4295886466,5082529201,14/09/2015,,01/09/1982,"12,053.28",,,,Europe,"4,938.38",
3978829040,09/28/2022,09/28/2022,0.00,MediCard Philippines Inc,Healthcare,Healthcare Providers & Services (HMOs),Philippines,AIA Group Ltd,Financials,Insurance,Hong Kong,Alphaprimus Advisors,Ernst & Young LLP|UBS Investment Bank,Completed,Merger,750.00,,5000789191,5082085396,01/12/1986,,01/01/1931,,,,,Asia Pacific Excluding Central Asia,"4,911.00",
3919107040,05/11/2022,05/11/2022,2.91,Khetri-Narela Transmission Ltd,Energy and Power,Power,India,Power Grid Corp Of India Ltd,Energy and Power,Power,India,,,Completed,Merger,"9,670.00",,4295873204,5081469124,15/05/2020,,01/01/1989,"2,948.01",,,,Asia Pacific Excluding Central Asia,"4,817.68",
3939935040,05/30/2022,05/30/2022,1.17,Mohanlalganj Transmission Ltd,Energy and Power,Power,India,Power Grid Corp Of India Ltd,Energy and Power,Power,India,,,Completed,Merger,"9,670.00",,4295873204,5081469334,,,01/01/1989,"2,948.01",,,,Asia Pacific Excluding Central Asia,"4,817.68",
3989571020,10/18/2022,10/18/2022,533.63,AVEO Pharmaceuticals Inc,Healthcare,Pharmaceuticals,United States,LG Chem Ltd,Energy and Power,Petrochemicals,South Korea,Moelis & Co,BofA Securities Inc,Completed,Merger,"10,780.00",,4295882004,4297278257,19/10/2001,AVEO,01/01/1947,"22,910.38",100.73,,278.10,Americas,"4,794.45",-24.43
3916261020,05/04/2022,05/04/2022,"14,347.57",Black Knight Inc,High Technology,Software,United States,Intercontinental Exchange Inc,Financials,Brokerage,United States,JP Morgan Securities LLC,Wells Fargo Securities LLC|Credit Suisse|Goldman Sachs & Co,Pending,Merger,,,5038915059,5056728929,01/01/1962,BKI,06/03/2013,"156,947.00",343.70,"72,088.93","8,951.37",Americas,"4,762.00",679.60
