,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
10,uri,http://www.wikidata.org/entity/Q28056752,en,literal,Technopolis,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,,,,,,,,,,wd:Q219
11,uri,http://www.wikidata.org/entity/Q123298436,en,literal,3labels.com,uri,http://www.wikidata.org/entity/Q41,literal,http://www.wikidata.org/entity/Q83405,literal,,literal,,literal,,literal,,en,literal,3labels.com,,,,,,,,,,,,,wd:Q219
12,uri,http://www.wikidata.org/entity/Q110399491,en,literal,Praktiker,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,bg,literal,ПРАКТИКЕР РИТЕЙЛ ЕООД,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,,,,wd:Q219
13,uri,http://www.wikidata.org/entity/Q79101901,en,literal,House of Meat Galanski,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-12-10T00:00:00Z,,,,,,,,,,wd:Q219
14,uri,http://www.wikidata.org/entity/Q3367065,en,literal,First Investment Bank,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-10-08T00:00:00Z,,,,,,,,,,wd:Q219
15,uri,http://www.wikidata.org/entity/Q118720219,,literal,Q118720219,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,,,,,,,wd:Q219
16,uri,http://www.wikidata.org/entity/Q118558950,,literal,Q118558950,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
17,uri,http://www.wikidata.org/entity/Q109996760,en,literal,Eleven,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
18,uri,http://www.wikidata.org/entity/Q118164603,en,literal,LB Bulgaricum,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
19,uri,http://www.wikidata.org/entity/Q111603199,en,literal,EKO Bulgaria,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
20,uri,http://www.wikidata.org/entity/Q123458634,,literal,Q123458634,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
21,uri,http://www.wikidata.org/entity/Q804928,en,literal,Bulgarian Railway Company A.D.,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,,,,wd:Q219
22,uri,http://www.wikidata.org/entity/Q118559499,,literal,Q118559499,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-02-17T00:00:00Z,,,,,,,,,,wd:Q219
23,uri,http://www.wikidata.org/entity/Q2471460,en,literal,Heli Air Services,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,,,,,,,,,,wd:Q219
24,uri,http://www.wikidata.org/entity/Q106508421,en,literal,"Gaida school ""Trakia""",uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-01T00:00:00Z,,,,,,,,,,wd:Q219
25,uri,http://www.wikidata.org/entity/Q110614670,en,literal,Aiko,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
26,uri,http://www.wikidata.org/entity/Q16955362,en,literal,Navigation Maritime Bulgare,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q651658,literal,,literal,,literal,http://www.wikidata.org/entity/Q6506,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1892-12-14T00:00:00Z,,,,,,,,,,wd:Q219
27,uri,http://www.wikidata.org/entity/Q19370762,en,literal,Pensoft Publishers,uri,http://www.wikidata.org/entity/Q219,literal,,literal,http://www.wikidata.org/entity/Q21781591,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,wd:Q219
28,uri,http://www.wikidata.org/entity/Q123298436,en,literal,3labels.com,uri,http://www.wikidata.org/entity/Q218,literal,http://www.wikidata.org/entity/Q83405,literal,,literal,,literal,,literal,,en,literal,3labels.com,,,,,,,,,,,,,wd:Q219
29,uri,http://www.wikidata.org/entity/Q5206146,en,literal,DSK Bank,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,,,,,,,,,,wd:Q219
30,uri,http://www.wikidata.org/entity/Q123298436,en,literal,3labels.com,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q83405,literal,,literal,,literal,,literal,,en,literal,3labels.com,,,,,,,,,,,,,wd:Q219
31,uri,http://www.wikidata.org/entity/Q114131717,en,literal,Videnov Furniture,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
32,uri,http://www.wikidata.org/entity/Q307468,en,literal,bTV,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q289,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-06-01T00:00:00Z,,,,,,,,,,wd:Q219
33,uri,http://www.wikidata.org/entity/Q122960499,en,literal,Maxxmart,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
34,uri,http://www.wikidata.org/entity/Q2880826,en,literal,Bulgarian Posts,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,bg,literal,„Български пощи“ ЕАД,http://www.w3.org/2001/XMLSchema#dateTime,literal,1879-01-01T00:00:00Z,,,,,,,,,,wd:Q219
35,uri,http://www.wikidata.org/entity/Q1941592,en,literal,A1 Bulgaria,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2300,,,,,,,wd:Q219
36,uri,http://www.wikidata.org/entity/Q106508620,en,literal,Health Zone,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-05-11T00:00:00Z,,,,,,,,,,wd:Q219
37,uri,http://www.wikidata.org/entity/Q4836739,en,literal,bTV Radio,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
38,uri,http://www.wikidata.org/entity/Q108852081,en,literal,SOpharmacy,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
