,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
107,uri,http://www.wikidata.org/entity/Q80788,en,literal,DNB Bank,nb,literal,DNB Bank ASA,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-09-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q837171,literal,"http://www.wikidata.org/entity/Q64587234, http://www.wikidata.org/entity/Q4582045",literal,http://www.wikidata.org/entity/Q11993401,literal,http://www.wikidata.org/entity/Q585,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,9020,http://www.w3.org/2001/XMLSchema#decimal,literal,25721000000,http://www.w3.org/2001/XMLSchema#decimal,literal,2793294000000,,,,wd:Q20
108,uri,http://www.wikidata.org/entity/Q1460924,en,literal,Morgenbladet,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1819-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
109,uri,http://www.wikidata.org/entity/Q15139453,en,literal,Norwegian Long Haul,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q29,literal,http://www.wikidata.org/entity/Q1757562,literal,http://www.wikidata.org/entity/Q76340270,literal,,literal,http://www.wikidata.org/entity/Q57076,literal,,,,,,,,,,,,,,wd:Q20
110,uri,http://www.wikidata.org/entity/Q842108,en,literal,Euronext,nl,literal,Euronext N.V.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-09-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,"http://www.wikidata.org/entity/Q112166008, http://www.wikidata.org/entity/Q837171",literal,http://www.wikidata.org/entity/Q33290562,literal,,literal,"http://www.wikidata.org/entity/Q53865133, http://www.wikidata.org/entity/Q90",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2129,,,,,,,,,,wd:Q20
111,uri,http://www.wikidata.org/entity/Q1764841,en,literal,Hallingdølen,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1936-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q113538,literal,,,,,,,,,,,,,,wd:Q20
112,uri,http://www.wikidata.org/entity/Q17047215,en,literal,Vitusapotek,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
113,uri,http://www.wikidata.org/entity/Q111130002,en,literal,Bookis,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-06-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q34,literal,http://www.wikidata.org/entity/Q46843593,literal,,literal,,literal,http://www.wikidata.org/entity/Q26087,literal,,,,,,,,,,,,,,wd:Q20
114,uri,http://www.wikidata.org/entity/Q106940660,en,literal,Cutters,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-09-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q57261067,literal,,literal,,literal,http://www.wikidata.org/entity/Q26793,literal,,,,,,,,,,,,,,wd:Q20
115,uri,http://www.wikidata.org/entity/Q1475657,en,literal,Petroleum Geo-Services,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,"http://www.wikidata.org/entity/Q3241434, http://www.wikidata.org/entity/Q862571",literal,,literal,,literal,"http://www.wikidata.org/entity/Q17362932, http://www.wikidata.org/entity/Q57076",literal,,,,,,,,,,,,,,wd:Q20
116,uri,http://www.wikidata.org/entity/Q15139453,en,literal,Norwegian Long Haul,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q1757562,literal,http://www.wikidata.org/entity/Q76340270,literal,,literal,http://www.wikidata.org/entity/Q57076,literal,,,,,,,,,,,,,,wd:Q20
117,uri,http://www.wikidata.org/entity/Q7050523,en,literal,Nord-Trøndelag Elektrisitetsverk,nb,literal,Nord-Trøndelag Elektrisitetsverk AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-06-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q2316331,literal,"http://www.wikidata.org/entity/Q12006930, http://www.wikidata.org/entity/Q25431453, http://www.wikidata.org/entity/Q17105412, http://www.wikidata.org/entity/Q17108577",literal,http://www.wikidata.org/entity/Q17108156,literal,http://www.wikidata.org/entity/Q7606901,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,550,,,,,,,,,,wd:Q20
118,uri,http://www.wikidata.org/entity/Q1999199,en,literal,Norli,nb,literal,Norli AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1890-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26525, http://www.wikidata.org/entity/Q585",literal,,,,,,,,,,,,,,wd:Q20
119,uri,http://www.wikidata.org/entity/Q4570270,en,literal,Kongsberg Satellite Services,nb,literal,Kongsberg Satellite Services AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-12-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q2729047,literal,,literal,,literal,http://www.wikidata.org/entity/Q26087,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,190,,,,,,,,,,wd:Q20
120,uri,http://www.wikidata.org/entity/Q842108,en,literal,Euronext,nl,literal,Euronext N.V.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-09-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q112166008, http://www.wikidata.org/entity/Q837171",literal,http://www.wikidata.org/entity/Q33290562,literal,,literal,"http://www.wikidata.org/entity/Q53865133, http://www.wikidata.org/entity/Q90",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2129,,,,,,,,,,wd:Q20
121,uri,http://www.wikidata.org/entity/Q6966507,en,literal,Nordkraft,nb,literal,Narvik Energi AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1913-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,"http://www.wikidata.org/entity/Q1341478, http://www.wikidata.org/entity/Q383973, http://www.wikidata.org/entity/Q112046",literal,,literal,,literal,http://www.wikidata.org/entity/Q59101,literal,,,,,,,,,,,,,,wd:Q20
122,uri,http://www.wikidata.org/entity/Q56405371,en,literal,Norwegian Reward,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,http://www.wikidata.org/entity/Q67079850,literal,,literal,,,,,,,,,,,,,,wd:Q20
123,uri,http://www.wikidata.org/entity/Q84753735,en,literal,Bluestep Bank,nb,literal,"Bluestep Bank AB (Publ), Filial Oslo",http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
124,uri,http://www.wikidata.org/entity/Q1964355,en,literal,Nammo,nb,literal,Nammo AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q392933,literal,,literal,,literal,http://www.wikidata.org/entity/Q2632394,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2500,,,,,,,,,,wd:Q20
125,uri,http://www.wikidata.org/entity/Q5124781,en,literal,Civita,nb,literal,Civita AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-06-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q155271,literal,http://www.wikidata.org/entity/Q446695,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,18,,,,,,,,,,wd:Q20
126,uri,http://www.wikidata.org/entity/Q7879162,en,literal,Ullern Avis/Akersposten,,,,,,,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
127,uri,http://www.wikidata.org/entity/Q11966068,,literal,Q11966068,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1847-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
128,uri,http://www.wikidata.org/entity/Q1780482,en,literal,Hulen,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-05-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
129,uri,http://www.wikidata.org/entity/Q17775971,,literal,Q17775971,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,"http://www.wikidata.org/entity/Q12144907, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q101341,literal,,,,,,,,,,,,,,wd:Q20
130,uri,http://www.wikidata.org/entity/Q106229672,en,literal,Gollegiella,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
131,uri,http://www.wikidata.org/entity/Q63107043,en,literal,Loyal Blood Records,,,,,,,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
132,uri,http://www.wikidata.org/entity/Q111130002,en,literal,Bookis,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-08-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q46843593,literal,,literal,,literal,http://www.wikidata.org/entity/Q26087,literal,,,,,,,,,,,,,,wd:Q20
133,uri,http://www.wikidata.org/entity/Q28718965,en,literal,Salten Brann,,,,,,,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q39383,literal,,,,,,,,,,,,,,wd:Q20
134,uri,http://www.wikidata.org/entity/Q5683927,en,literal,Havila Shipping,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q651658,literal,,literal,,literal,http://www.wikidata.org/entity/Q1439388,literal,,,,,,,,,,,,,,wd:Q20
135,uri,http://www.wikidata.org/entity/Q47457642,en,literal,Promon AS,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q3510521,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
136,uri,http://www.wikidata.org/entity/Q1056473,en,literal,Stokke AS,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1932-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q62266,literal,,,,,,,,,,,,,,wd:Q20
137,uri,http://www.wikidata.org/entity/Q6966507,en,literal,Nordkraft,nb,literal,Nordkraft AS.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1913-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,"http://www.wikidata.org/entity/Q1341478, http://www.wikidata.org/entity/Q383973, http://www.wikidata.org/entity/Q112046",literal,,literal,,literal,http://www.wikidata.org/entity/Q59101,literal,,,,,,,,,,,,,,wd:Q20
138,uri,http://www.wikidata.org/entity/Q50285372,en,literal,Hubro,no,literal,Hubro,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
139,uri,http://www.wikidata.org/entity/Q970769,en,literal,Norges Bank,en,literal,Norges Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1816-06-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,http://www.wikidata.org/entity/Q110126862,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
