,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country
179,uri,http://www.wikidata.org/entity/Q12184641,en,literal,Saudi Investment Bank,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-06-23T00:00:00Z,ar,literal,البنك السعودي للإستثمار,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,100814596000,http://www.w3.org/2001/XMLSchema#decimal,literal,14279067000,,,,,,,wd:Q851
180,uri,http://www.wikidata.org/entity/Q12188903,en,literal,Saudi Electricity Company,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q20385848,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,ar,literal,الشركة السعودية للكهرباء,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,479829990000,http://www.w3.org/2001/XMLSchema#decimal,literal,73569872000,,,,,,,wd:Q851
181,uri,http://www.wikidata.org/entity/Q3535226,en,literal,Almarai Company,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,ar,literal,شركة المراعي,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,33148042000,http://www.w3.org/2001/XMLSchema#decimal,literal,13926796000,,,,,,,wd:Q851
182,uri,http://www.wikidata.org/entity/Q6160243,en,literal,Jarir Bookstore,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,ar,literal,شركة جرير للتسويق,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,4001527000,http://www.w3.org/2001/XMLSchema#decimal,literal,1645090000,,,,,,,wd:Q851
183,uri,http://www.wikidata.org/entity/Q12199341,en,literal,Bank Aljazira,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q374365,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-06-21T00:00:00Z,ar,literal,بنك الجزيرة,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,86544344000,http://www.w3.org/2001/XMLSchema#decimal,literal,8828839000,,,,,,,wd:Q851
184,uri,http://www.wikidata.org/entity/Q1189080,en,literal,Nas Air,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,mul,literal,Nas Air,,,,,,,,,,,,,,,,wd:Q851
185,uri,http://www.wikidata.org/entity/Q4120111,en,literal,Alinma Bank,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-03-28T00:00:00Z,ar,literal,مصرف الإنماء,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,131839441000,http://www.w3.org/2001/XMLSchema#decimal,literal,21297708000,,,,,,,wd:Q851
186,uri,http://www.wikidata.org/entity/Q1761176,en,literal,Al-Rajhi Bank,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q1416657,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,ar,literal,مصرف الراجحي,http://www.w3.org/2001/XMLSchema#decimal,literal,6000,http://www.w3.org/2001/XMLSchema#decimal,literal,384086576000,http://www.w3.org/2001/XMLSchema#decimal,literal,48554018000,,,,,,,wd:Q851
187,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q810,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q851
188,uri,http://www.wikidata.org/entity/Q4166519,en,literal,Saudi British Bank,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-21T00:00:00Z,ar,literal,البنك السعودي البريطاني,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,265472444000,http://www.w3.org/2001/XMLSchema#decimal,literal,32341223000,,,,,,,wd:Q851
