,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
33,uri,http://www.wikidata.org/entity/Q123472183,en,literal,OK,,,,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q40844,literal,,nl,literal,OK Oliecentrale B.V.,,,,,,,,,,,,,,,,wd:Q55
34,uri,http://www.wikidata.org/entity/Q17149142,en,literal,Suitsupply,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q727,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
35,uri,http://www.wikidata.org/entity/Q5412657,en,literal,European Hematology Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36600,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
36,uri,http://www.wikidata.org/entity/Q58870843,en,literal,Esthetic Health,,,,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q131207,literal,,literal,,literal,http://www.wikidata.org/entity/Q34370,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
37,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,wd:Q55
38,uri,http://www.wikidata.org/entity/Q61457336,en,literal,SnowWorld,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q26432,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
39,uri,http://www.wikidata.org/entity/Q97439162,en,literal,Stellantis,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q112166038, http://www.wikidata.org/entity/Q6129866, http://www.wikidata.org/entity/Q190117",literal,http://www.wikidata.org/entity/Q2939466,literal,http://www.wikidata.org/entity/Q284011,literal,http://www.wikidata.org/entity/Q727,literal,http://www.wikidata.org/entity/Q648828,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,258275,http://www.w3.org/2001/XMLSchema#decimal,literal,18625000000,http://www.w3.org/2001/XMLSchema#decimal,literal,186200000000,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,72400000000,wd:Q55
40,uri,http://www.wikidata.org/entity/Q3496897,en,literal,Brouwerij 't IJ,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q869095,literal,,literal,,literal,http://www.wikidata.org/entity/Q727,literal,,nl,literal,Brouwerij 't IJ B.V.,,,,,,,,,,,,,,,,wd:Q55
41,uri,http://www.wikidata.org/entity/Q19935749,en,literal,Fastned,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-02-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q2140665,literal,,literal,,literal,http://www.wikidata.org/entity/Q727,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,76,,,,,,,,,,,,,wd:Q55
42,uri,http://www.wikidata.org/entity/Q108250509,en,literal,Allianz Direct,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-07-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q2143354,literal,,literal,,literal,http://www.wikidata.org/entity/Q1726,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
