,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
43,uri,http://www.wikidata.org/entity/Q36879490,en,literal,Rappi,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2841,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8000,,,,wd:Q298
44,uri,http://www.wikidata.org/entity/Q597946,en,literal,Mega,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2383556,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,,,,,,,,,,wd:Q298
45,uri,http://www.wikidata.org/entity/Q679910,en,literal,Empresa de los Ferrocarriles del Estado,uri,http://www.wikidata.org/entity/Q298,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,http://www.wikidata.org/entity/Q6069699,literal,http://www.wikidata.org/entity/Q188002,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1884-01-04T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1652,,,,wd:Q298
46,uri,http://www.wikidata.org/entity/Q1458581,en,literal,Record,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4863126,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-09-27T00:00:00Z,,,,,,,,,,wd:Q298
47,uri,http://www.wikidata.org/entity/Q6096503,,literal,Q6096503,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q298
48,uri,http://www.wikidata.org/entity/Q1053372,en,literal,Cencosud,uri,http://www.wikidata.org/entity/Q298,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q14484, http://www.wikidata.org/entity/Q2887",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,,,,,,,,,,wd:Q298
49,uri,http://www.wikidata.org/entity/Q3416625,en,literal,Radio Cooperativa,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-04-25T00:00:00Z,,,,,,,,,,wd:Q298
50,uri,http://www.wikidata.org/entity/Q756147,en,literal,Wanako Studios,uri,http://www.wikidata.org/entity/Q298,literal,http://www.wikidata.org/entity/Q1061635,literal,,literal,,literal,http://www.wikidata.org/entity/Q51587,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,,,,wd:Q298
51,uri,http://www.wikidata.org/entity/Q122195883,,literal,Q122195883,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q14484,literal,,,,,,,,,,,,,,wd:Q298
52,uri,http://www.wikidata.org/entity/Q585150,en,literal,Antofagasta PLC,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q44497,literal,"http://www.wikidata.org/entity/Q80968324, http://www.wikidata.org/entity/Q42327588",literal,http://www.wikidata.org/entity/Q5928591,literal,http://www.wikidata.org/entity/Q84,literal,http://www.wikidata.org/entity/Q466496,http://www.w3.org/2001/XMLSchema#dateTime,literal,1888-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,5637,,,,wd:Q298
