,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
144,uri,http://www.wikidata.org/entity/Q7087746,uri,http://www.wikidata.org/entity/Q1878364,,,
145,uri,http://www.wikidata.org/entity/Q7444725,uri,http://www.wikidata.org/entity/Q3323911,,,
146,uri,http://www.wikidata.org/entity/Q16989244,uri,http://www.wikidata.org/entity/Q1479654,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-12-01T00:00:00Z
147,uri,http://www.wikidata.org/entity/Q17108572,uri,http://www.wikidata.org/entity/Q477222,,,
148,uri,http://www.wikidata.org/entity/Q21207445,uri,http://www.wikidata.org/entity/Q3777372,,,
149,uri,http://www.wikidata.org/entity/Q22131845,uri,http://www.wikidata.org/entity/Q786790,,,
150,uri,http://www.wikidata.org/entity/Q28026003,uri,http://www.wikidata.org/entity/Q912872,,,
151,uri,http://www.wikidata.org/entity/Q28056374,uri,http://www.wikidata.org/entity/Q1027874,,,
152,uri,http://www.wikidata.org/entity/Q45117441,uri,http://www.wikidata.org/entity/Q3323911,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z
153,uri,http://www.wikidata.org/entity/Q50557071,uri,http://www.wikidata.org/entity/Q543750,,,
154,uri,http://www.wikidata.org/entity/Q50977065,uri,http://www.wikidata.org/entity/Q543750,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z
155,uri,http://www.wikidata.org/entity/Q50843317,uri,http://www.wikidata.org/entity/Q543750,,,
156,uri,http://www.wikidata.org/entity/Q50977065,uri,http://www.wikidata.org/entity/Q543750,,,
157,uri,http://www.wikidata.org/entity/Q54153229,uri,http://www.wikidata.org/entity/Q543750,,,
158,uri,http://www.wikidata.org/entity/Q95689065,uri,http://www.wikidata.org/entity/Q1027874,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z
159,uri,http://www.wikidata.org/entity/Q108909041,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z
160,uri,http://www.wikidata.org/entity/Q12785447,uri,http://www.wikidata.org/entity/Q1343118,,,
161,uri,http://www.wikidata.org/entity/Q98492565,uri,http://www.wikidata.org/entity/Q477222,,,
162,uri,http://www.wikidata.org/entity/Q5433964,uri,http://www.wikidata.org/entity/Q269792,,,
